"","id","county","model_turnout","actual_turnout","repub","dem","oth","model_support","county_model_turnout","county_actual_turnout","county_dev","pc_dev","pc_county_ratio","pc_sd","t","cut1","twoway"
"109","APPOMATTOXNA","APPOMATTOX",0,172,"92","77","3","#N/A",5523.645277,4732,0.167296127852916,1,5.97742465910019,0.250974384069934,19.8324011334688,FALSE,0.455621301775148
"110","Appomattox302","APPOMATTOX",595.111611,492,"346","138","8","0.379525558",5523.645277,4732,0.167296127852916,0.209576445121951,1.25272741103851,0.250974384069934,1.00698488403536,FALSE,0.285123966942149
"111","Appomattox102","APPOMATTOX",749.732141,630,"409","205","16","0.422610822",5523.645277,4732,0.167296127852916,0.190051017460317,1.13601563825438,0.250974384069934,0.54195028213111,FALSE,0.333876221498371
"112","Appomattox301","APPOMATTOX",513.616012,432,"317","107","8","0.368931685",5523.645277,4732,0.167296127852916,0.188925953703704,1.12929065441254,0.250974384069934,0.515154783192982,FALSE,0.252358490566038
"113","Appomattox501","APPOMATTOX",780.499513,638,"427","205","6","0.395986884",5523.645277,4732,0.167296127852916,0.223353468652038,1.33507853121625,0.250974384069934,1.33511048331881,FALSE,0.324367088607595
"114","Appomattox202","APPOMATTOX",914.3527,759,"560","185","14","0.3322",5523.645277,4732,0.167296127852916,0.204680764163373,1.22346384695362,0.250974384069934,0.890385079663539,FALSE,0.248322147651007
"115","Appomattox101","APPOMATTOX",408.135752,350,"256","84","10","0.359190482",5523.645277,4732,0.167296127852916,0.166102148571429,0.992863078800381,0.250974384069934,0.0284368511394773,FALSE,0.247058823529412
"116","Appomattox401","APPOMATTOX",980.348268,795,"549","227","19","0.405354468",5523.645277,4732,0.167296127852916,0.233142475471698,1.39359158196819,0.250974384069934,1.56825400100799,TRUE,0.292525773195876
"117","Appomattox502","APPOMATTOX",312.457007,242,"149","85","8","0.444324486",5523.645277,4732,0.167296127852916,0.291144657024793,1.74029525226527,0.250974384069934,2.9496845066825,FALSE,0.363247863247863
"118","Appomattox201","APPOMATTOX",269.392273,222,"128","88","6","0.510264298",5523.645277,4732,0.167296127852916,0.213478707207207,1.27605288865319,0.250974384069934,1.0999245587401,FALSE,0.407407407407407
"119","Arlington016","ARLINGTON",1546.011,1162,"254","874","34","0.751725",72423.57689,74504,0.0279236431600988,0.330474182444062,11.8349235645687,0.167128207117621,64.8300113513656,FALSE,0.774822695035461
"120","ArlingtonNA","ARLINGTON",0,7083,"1804","5182","97","#N/A",72423.57689,74504,0.0279236431600988,1,35.8119459651647,0.167128207117621,208.294856778215,FALSE,0.741769252791297
"121","ARLINGTONNA","ARLINGTON",0,7083,"1804","5182","97","#N/A",72423.57689,74504,0.0279236431600988,1,35.8119459651647,0.167128207117621,208.294856778215,FALSE,0.741769252791297
"122","Arlington009","ARLINGTON",1637.517,1422,"287","1099","36","0.792313",72423.57689,74504,0.0279236431600988,0.151559071729958,5.42762528732377,0.167128207117621,26.4923878720707,FALSE,0.792929292929293
"123","Arlington002","ARLINGTON",1659.140251,1329,"293","998","38","0.768944905",72423.57689,74504,0.0279236431600988,0.24841252896915,8.8961360645131,0.167128207117621,47.2459807993751,FALSE,0.773044151820294
"124","Arlington032","ARLINGTON",695.7908,602,"212","372","18","0.642932",72423.57689,74504,0.0279236431600988,0.155798671096345,5.57945359074679,0.167128207117621,27.4008419627447,FALSE,0.636986301369863
"125","Arlington004","ARLINGTON",1343.489823,1110,"301","769","40","0.743379553",72423.57689,74504,0.0279236431600988,0.210351191891892,7.53308551774042,0.167128207117621,39.0902626816465,FALSE,0.718691588785047
"126","Arlington014","ARLINGTON",1078.318,902,"258","613","31","0.719739",72423.57689,74504,0.0279236431600988,0.195474501108647,7.00032227127041,0.167128207117621,35.9025108613026,FALSE,0.703788748564868
"127","Arlington049","ARLINGTON",778.065225,653,"147","481","25","0.765072683",72423.57689,74504,0.0279236431600988,0.191524081163859,6.85885004566794,0.167128207117621,35.0560216417844,FALSE,0.765923566878981
"128","Arlington047","ARLINGTON",986.9676,828,"187","623","18","0.761889",72423.57689,74504,0.0279236431600988,0.191989855072464,6.87553031571487,0.167128207117621,35.155826877146,FALSE,0.769135802469136
"129","Arlington051","ARLINGTON",396.6848,330,"97","231","2","0.722845",72423.57689,74504,0.0279236431600988,0.202075151515152,7.23670440696307,0.167128207117621,37.3168869248614,FALSE,0.704268292682927
"130","Arlington026","ARLINGTON",1747.763,1443,"316","1083","44","0.772084",72423.57689,74504,0.0279236431600988,0.21120097020097,7.5635177326275,0.167128207117621,39.2723517222216,FALSE,0.774124374553252
"131","Arlington028","ARLINGTON",1681.587,1299,"263","999","37","0.789243",72423.57689,74504,0.0279236431600988,0.294524249422633,10.547486505754,0.167128207117621,57.1267212783221,FALSE,0.791600633914422
"132","Arlington030","ARLINGTON",1367.602,1087,"175","888","24","0.851014",72423.57689,74504,0.0279236431600988,0.25814351425943,9.24462158391642,0.167128207117621,49.3311196602142,FALSE,0.835371589840075
"133","Arlington008","ARLINGTON",1652.623,1388,"457","884","47","0.671284",72423.57689,74504,0.0279236431600988,0.190650576368876,6.8275681391497,0.167128207117621,34.8688485304482,FALSE,0.659209545115585
"134","Arlington013","ARLINGTON",1018.043853,892,"201","666","25","0.795965195",72423.57689,74504,0.0279236431600988,0.14130476793722,5.06039871398785,0.167128207117621,24.295113218861,FALSE,0.768166089965398
