id,county,model_turnout,actual_turnout,repub,dem,oth,county_model_turnout,county_actual_turnout,county_dev,pc_dev,pc_county_ratio,pc_sd,t,modeled_support
Amelia301,Amelia,899.618,769,551,208,10,4545.454522,3810,0.193032683,0.169854356,0.879925377,0.022863866,5.251719968,0.366801
Amelia201,Amelia,917.113938,755,446,288,21,4545.454522,3810,0.193032683,0.214720448,1.112352812,0.022863866,4.91399008,0.417105917
Amelia501,Amelia,1034.365798,856,489,353,14,4545.454522,3810,0.193032683,0.208371259,1.079461033,0.022863866,3.475397912,0.500375265
Amelia401,Amelia,931.59233,798,560,213,25,4545.454522,3810,0.193032683,0.167408935,0.867256945,0.022863866,5.805800897,0.371413798
Amelia101,Amelia,762.764456,632,398,217,17,4545.454522,3810,0.193032683,0.206905785,1.071869186,0.022863866,3.14335229,0.427302545
Amherst202,Amherst,568.961911,465,293,172,0,9798.698096,8470,0.156871086,0.223574002,1.425208483,0.055362455,7.68044846,0.419793288
Amherst201,Amherst,1482.112442,1254,723,504,27,9798.698096,8470,0.156871086,0.181907848,1.159600876,0.055362455,2.882835959,0.478736249
Amherst401,Amherst,1567.59422,1372,844,502,26,9798.698096,8470,0.156871086,0.142561385,0.908780507,0.055362455,1.647677882,0.462971069
Amherst501,Amherst,1553.532,1340,777,528,35,9798.698096,8470,0.156871086,0.159352239,1.01581651,0.055362455,0.285690184,0.526186
Amherst301,Amherst,594.858815,527,339,177,11,9798.698096,8470,0.156871086,0.128764355,0.820829117,0.055362455,3.236324728,0.413894466
Amherst102,Amherst,805.756923,706,415,269,22,9798.698096,8470,0.156871086,0.141298758,0.900731688,0.055362455,1.793061959,0.480820951
Amherst101,Amherst,700.203622,549,219,325,5,9798.698096,8470,0.156871086,0.275416434,1.755686411,0.055362455,13.64979948,0.659188929
Amherst103,Amherst,389.211502,331,246,79,6,9798.698096,8470,0.156871086,0.175865565,1.121083367,0.055362455,2.187102553,0.415744309
Amherst303,Amherst,340.891409,304,200,94,10,9798.698096,8470,0.156871086,0.121353319,0.773586276,0.055362455,4.089661901,0.383801855
Amherst402,Amherst,354.983867,290,186,92,12,9798.698096,8470,0.156871086,0.2240823,1.42844871,0.055362455,7.738975967,0.471487938
Amherst302,Amherst,1440.591385,1332,959,347,26,9798.698096,8470,0.156871086,0.081525064,0.519694649,0.055362455,8.675651213,0.352410395
Appomattox302,Appomattox,595.111611,492,346,138,8,5523.645277,4560,0.211325719,0.209576445,0.991722382,0.035364102,0.23406837,0.379525558
Appomattox102,Appomattox,749.732141,630,409,205,16,5523.645277,4560,0.211325719,0.190051017,0.89932744,0.035364102,2.846744418,0.422610822
Appomattox301,Appomattox,513.616012,432,317,107,8,5523.645277,4560,0.211325719,0.188925954,0.894003602,0.035364102,2.997287965,0.368931685
Appomattox501,Appomattox,780.499513,638,427,205,6,5523.645277,4560,0.211325719,0.223353469,1.056915694,0.035364102,1.60942003,0.395986884
Appomattox202,Appomattox,914.3527,759,560,185,14,5523.645277,4560,0.211325719,0.204680764,0.968555865,0.035364102,0.889154066,0.3322
Appomattox101,Appomattox,408.135752,350,256,84,10,5523.645277,4560,0.211325719,0.166102149,0.786000633,0.035364102,6.051316283,0.359190482
Appomattox401,Appomattox,980.348268,795,549,227,19,5523.645277,4560,0.211325719,0.233142475,1.103237585,0.035364102,2.91927629,0.405354468
Appomattox502,Appomattox,312.457007,242,149,85,8,5523.645277,4560,0.211325719,0.291144657,1.377705747,0.035364102,10.68048455,0.444324486
Appomattox201,Appomattox,269.392273,222,128,88,6,5523.645277,4560,0.211325719,0.213478707,1.01018801,0.035364102,0.288089037,0.510264298
Arlington016,Arlington,1546.011,1162,254,874,34,72423.57689,60338,0.200297936,0.330474182,1.649913066,0.072567644,8.955962066,0.751725
Arlington009,Arlington,1637.517,1422,287,1099,36,72423.57689,60338,0.200297936,0.151559072,0.756668163,0.072567644,3.353172619,0.792313
Arlington002,Arlington,1659.140251,1329,293,998,38,72423.57689,60338,0.200297936,0.248412529,1.240215118,0.072567644,3.310223475,0.768944905
Arlington032,Arlington,695.7908,602,212,372,18,72423.57689,60338,0.200297936,0.155798671,0.777834629,0.072567644,3.061493512,0.642932
Arlington004,Arlington,1343.489823,1110,301,769,40,72423.57689,60338,0.200297936,0.210351192,1.050191508,0.072567644,0.691651335,0.743379553
Arlington014,Arlington,1078.318,902,258,613,31,72423.57689,60338,0.200297936,0.195474501,0.975918697,0.072567644,0.331846288,0.719739
Arlington049,Arlington,778.065225,653,147,481,25,72423.57689,60338,0.200297936,0.191524081,0.956195978,0.072567644,0.603630214,0.765072683
Arlington047,Arlington,986.9676,828,187,623,18,72423.57689,60338,0.200297936,0.191989855,0.958521383,0.072567644,0.571585554,0.761889
Arlington051,Arlington,396.6848,330,97,231,2,72423.57689,60338,0.200297936,0.202075152,1.008872858,0.072567644,0.122270162,0.722845
Arlington026,Arlington,1747.763,1443,316,1083,44,72423.57689,60338,0.200297936,0.21120097,1.054434079,0.072567644,0.750115014,0.772084
Arlington028,Arlington,1681.587,1299,263,999,37,72423.57689,60338,0.200297936,0.294524249,1.470430772,0.072567644,6.48265187,0.789243
Arlington030,Arlington,1367.602,1087,175,888,24,72423.57689,60338,0.200297936,0.258143514,1.288797672,0.072567644,3.979703029,0.851014
Arlington008,Arlington,1652.623,1388,457,884,47,72423.57689,60338,0.200297936,0.190650576,0.95183495,0.072567644,0.663726245,0.671284
Arlington013,Arlington,1018.043853,892,201,666,25,72423.57689,60338,0.200297936,0.141304768,0.705472909,0.072567644,4.058655828,0.795965195
Arlington015,Arlington,1374.969,1133,286,820,27,72423.57689,60338,0.200297936,0.213564872,1.066236007,0.072567644,0.912748488,0.752699
Arlington001,Arlington,1103.28383,878,176,680,22,72423.57689,60338,0.200297936,0.256587506,1.281029202,0.072567644,3.872651596,0.807998394
Arlington042,Arlington,1155.25,923,241,657,25,72423.57689,60338,0.200297936,0.251625135,1.256254257,0.072567644,3.53124676,0.738901
Arlington022,Arlington,1625.472,1421,368,1008,45,72423.57689,60338,0.200297936,0.143893033,0.718394985,0.072567644,3.88058644,0.74378
Arlington040,Arlington,1408.317001,1078,321,727,30,72423.57689,60338,0.200297936,0.306416513,1.529803644,0.072567644,7.300824653,0.724152194
Arlington044,Arlington,1034.847,827,191,610,26,72423.57689,60338,0.200297936,0.251326481,1.254763208,0.072567644,3.510699729,0.753797
Arlington036,Arlington,1800.305591,1482,448,1016,18,72423.57689,60338,0.200297936,0.214781101,1.072308104,0.072567644,0.996423481,0.740852284
Arlington024,Arlington,1986.186,1677,359,1281,37,72423.57689,60338,0.200297936,0.184368515,0.920471366,0.072567644,1.095924156,0.778597
Arlington021,Arlington,1739.318,1438,476,932,30,72423.57689,60338,0.200297936,0.209539638,1.046139776,0.072567644,0.635817474,0.69226
Arlington045,Arlington,1157.872,914,211,682,21,72423.57689,60338,0.200297936,0.266818381,1.332107487,0.072567644,4.576522937,0.766188
Arlington027,Arlington,1542.732,1370,342,988,40,72423.57689,60338,0.200297936,0.126081752,0.629471047,0.072567644,5.105980198,0.76557
Arlington048,Arlington,1170.965,920,292,592,36,72423.57689,60338,0.200297936,0.272788043,1.361911402,0.072567644,4.987228228,0.718176
Arlington038,Arlington,1187.985,952,185,742,25,72423.57689,60338,0.200297936,0.247883403,1.237573426,0.072567644,3.273820298,0.813988
Arlington006,Arlington,1089.155,895,288,578,29,72423.57689,60338,0.200297936,0.216932961,1.083051402,0.072567644,1.144468768,0.665198
Arlington007,Arlington,1653.666,1415,404,980,31,72423.57689,60338,0.200297936,0.168668551,0.842088312,0.072567644,2.176061939,0.744392
Arlington023,Arlington,1557.645,1362,348,966,48,72423.57689,60338,0.200297936,0.143645374,0.717158534,0.072567644,3.897625042,0.754601
Arlington010,Arlington,1651.658,1283,361,885,37,72423.57689,60338,0.200297936,0.287340608,1.434565992,0.072567644,5.988426368,0.707393
Arlington046,Arlington,1416.326,1141,359,735,47,72423.57689,60338,0.200297936,0.241302366,1.204717186,0.072567644,2.821053225,0.697479
Arlington039,Arlington,942.4986,824,200,611,13,72423.57689,60338,0.200297936,0.143808981,0.717975348,0.072567644,3.886369146,0.741281
Arlington019,Arlington,1611.392,1280,337,903,40,72423.57689,60338,0.200297936,0.2589,1.292574475,0.072567644,4.031748297,0.725759
Arlington041,Arlington,1362.953,1064,304,717,43,72423.57689,60338,0.200297936,0.280970865,1.40276465,0.072567644,5.550196038,0.734612
Arlington005,Arlington,1328.018209,1170,294,845,31,72423.57689,60338,0.200297936,0.135058298,0.674287018,0.072567644,4.488405086,0.764367974
Arlington017,Arlington,1796.889,1541,421,1087,33,72423.57689,60338,0.200297936,0.166053861,0.829034308,0.072567644,2.355949331,0.747674
Arlington018,Arlington,1887.657,1396,328,1017,51,72423.57689,60338,0.200297936,0.352189828,1.758329788,0.072567644,10.44997118,0.737414
Arlington043,Arlington,909.3408,640,104,519,17,72423.57689,60338,0.200297936,0.420845,2.101095036,0.072567644,15.1733607,0.830522
Arlington050,Arlington,1063.214,856,308,519,29,72423.57689,60338,0.200297936,0.24207243,1.208561776,0.072567644,2.87403263,0.681619
Arlington025,Arlington,1262.405,1117,261,835,21,72423.57689,60338,0.200297936,0.130174575,0.649904722,0.072567644,4.824399126,0.771903
Arlington034,Arlington,1533.316,1333,386,918,29,72423.57689,60338,0.200297936,0.150274569,0.750255201,0.072567644,3.441544816,0.723471
Arlington003,Arlington,1130.834107,1015,350,646,19,72423.57689,60338,0.200297936,0.114122273,0.569762599,0.072567644,5.928777312,0.693021258
Arlington011,Arlington,1206.201,1082,292,766,24,72423.57689,60338,0.200297936,0.114788355,0.573088055,0.072567644,5.882951708,0.712235
Arlington052,Arlington,891.3314,669,208,431,30,72423.57689,60338,0.200297936,0.332333931,1.659197978,0.072567644,9.083910445,0.719608
Arlington020,Arlington,1844.282,1539,527,993,19,72423.57689,60338,0.200297936,0.198363873,0.990344065,0.072567644,0.133061159,0.682556
Arlington012,Arlington,1554.508,1456,444,975,37,72423.57689,60338,0.200297936,0.067656593,0.337779782,0.072567644,9.125557645,0.717713
Arlington033,Arlington,1836,1570,515,1041,14,72423.57689,60338,0.200297936,0.169426752,0.845873675,0.072567644,2.123898707,0.692877
Arlington031,Arlington,1743.228,1557,425,1103,29,72423.57689,60338,0.200297936,0.119606936,0.597145126,0.072567644,5.551439358,0.759363
Arlington035,Arlington,2048.802,1751,690,1038,23,72423.57689,60338,0.200297936,0.170075385,0.84911202,0.072567644,2.07927351,0.630467
Arlington029,Arlington,1696.48,1546,376,1133,37,72423.57689,60338,0.200297936,0.097335058,0.485951378,0.072567644,7.083716578,0.765472
Arlington037,Arlington,1528.671,1376,443,905,28,72423.57689,60338,0.200297936,0.110952762,0.553938616,0.072567644,6.146835703,0.715143
Augusta404,Augusta,213.063157,170,127,38,5,22210.96014,18981,0.17016807,0.253312688,1.488602933,0.048198233,10.1373619,0.304748163
Augusta602,Augusta,1681.956003,1467,1042,379,46,22210.96014,18981,0.17016807,0.146527609,0.861075813,0.048198233,2.88235019,0.3409546
Augusta601,Augusta,741.47934,627,438,173,16,22210.96014,18981,0.17016807,0.182582679,1.072954987,0.048198233,1.513644421,0.338762405
Augusta301,Augusta,1918.216484,1603,1120,433,50,22210.96014,18981,0.17016807,0.1966416,1.155572837,0.048198233,3.227770531,0.334722005
Augusta801,Augusta,841.1291,698,505,173,20,22210.96014,18981,0.17016807,0.205056017,1.205020525,0.048198233,4.253693787,0.338656
Augusta503,Augusta,554.270864,480,345,121,14,22210.96014,18981,0.17016807,0.154730967,0.909283196,0.048198233,1.882160361,0.334016683
Augusta401,Augusta,665.717378,590,431,142,17,22210.96014,18981,0.17016807,0.128334539,0.754163451,0.048198233,5.10053031,0.323281094
Augusta302,Augusta,464.987135,394,292,94,8,22210.96014,18981,0.17016807,0.180170393,1.058779084,0.048198233,1.219527773,0.290045357
Augusta803,Augusta,1135.626,961,624,310,27,22210.96014,18981,0.17016807,0.181712799,1.067843098,0.048198233,1.407584749,0.380218
Augusta501,Augusta,995.553144,885,661,206,18,22210.96014,18981,0.17016807,0.124918807,0.734090753,0.048198233,5.516991583,0.314009911
Augusta203,Augusta,1148.318206,1026,761,239,26,22210.96014,18981,0.17016807,0.119218524,0.700592798,0.048198233,6.211995386,0.315414665
Augusta304,Augusta,540.754774,484,379,94,11,22210.96014,18981,0.17016807,0.11726193,0.689094785,0.048198233,6.45055211,0.298601939
